,density,alcohol,quality
95,0.9969,9.2,6
96,0.9979,8.8,6
97,0.9913,11.4,7
98,0.9956,10.1,4
99,0.9979,8.8,6
100,0.9975,9.1,5
101,0.9962,9.4,5
102,0.997,9.4,5
103,1.0,9.0,5
104,0.9975,9.1,5
105,0.9974,9.2,6
106,0.9962,9.4,5
107,0.999,9.1,6
108,0.999,9.1,6
109,0.9927,10.3,5
110,0.9959,8.8,6
111,1.0,8.9,5
112,0.9982,9.2,5
113,0.9968,9.1,5
114,0.9968,9.1,5
115,0.994,9.7,4
116,0.9914,11.3,6
117,0.9911,11.8,6
118,0.9982,9.2,5
119,0.9982,9.2,5
120,0.9934,10.2,5
121,0.9984,8.8,5
122,0.9952,9.7,5
123,0.9952,9.1,6
124,0.9928,9.8,6
125,0.9912,11.0,6
126,0.994,10.5,5
127,0.9958,9.7,7
128,0.9924,10.9,7
129,0.9924,10.9,6
130,0.994,10.6,5
131,0.9958,9.7,7
132,0.9979,9.0,5
133,0.9982,9.2,5
134,0.9961,8.9,5
135,0.9979,9.6,5
136,0.992,10.7,6
137,0.9975,8.7,5
138,0.9917,10.8,7
139,0.9923,11.8,6
140,0.9927,10.2,5
141,0.9975,8.7,5
142,0.992,10.8,6
143,0.9947,9.7,6
144,0.9921,11.2,6
145,0.9905,10.9,6
146,0.9918,10.1,6
147,0.9951,9.0,4
148,0.9917,12.0,7
149,0.994,9.4,6
150,0.9934,11.5,7
151,0.9968,9.9,6
152,0.994,9.4,6
153,0.9919,10.4,5
154,0.9966,9.7,6
157,0.9898,12.4,7
158,0.9894,12.1,8
159,0.9894,12.1,8
160,0.9898,12.4,7
161,0.998,9.1,5
162,0.9932,10.6,5
164,0.997,9.5,5
165,0.9972,9.8,5
166,0.9974,9.6,6
167,0.9896,12.6,7
168,0.9968,9.3,5
169,0.9958,10.0,5
170,0.9906,12.7,6
171,0.9917,11.0,6
172,0.9902,11.4,4
173,0.9918,11.5,7
174,0.999,10.2,5
175,0.9927,11.4,6
176,0.991,12.6,4
177,0.9972,9.4,5
179,0.995,9.2,6
180,0.9951,9.3,6
181,0.9936,9.2,5
182,1.001,8.7,5
183,0.9979,9.6,6
184,0.997,9.3,5
185,0.9972,9.3,5
186,0.9954,9.9,6
187,0.9924,11.0,5
188,0.9906,12.7,8
189,0.9962,8.9,4
190,0.9962,8.9,6
191,1.001,8.7,5
192,0.9928,11.4,6
193,0.9942,9.6,5
194,0.9942,9.1,5
195,0.9942,9.1,6
196,0.9942,9.1,5
197,0.9961,8.9,5
198,0.998,8.8,5
199,0.9961,8.9,5
200,0.9984,9.3,5
201,0.998,8.8,5
202,0.9973,9.6,5
203,0.9949,12.0,6
204,0.9924,10.2,4
205,0.9972,8.8,5
206,0.9958,9.2,5
207,0.9968,9.9,4
208,0.9938,10.2,5
209,0.993,9.5,6
210,0.994,10.5,5
211,0.9918,11.2,7
212,0.9958,9.2,5
213,0.9944,9.7,6
214,0.9912,11.1,7
215,0.9961,9.4,5
216,0.9939,11.0,5
217,0.9961,9.4,5
218,0.9989,9.4,5
219,0.9938,11.0,5
220,0.9939,11.0,5
221,0.9971,9.1,6
222,0.9912,11.1,7
223,0.9936,9.1,6
224,0.9929,10.4,6
225,0.9998,8.7,5
226,0.9938,9.7,6
227,0.9969,9.1,6
228,0.9938,9.7,6
229,0.9998,8.7,5
230,0.9972,8.9,4
231,0.9976,9.6,6
232,0.9976,9.5,6
233,0.9979,9.0,6
234,0.9979,9.0,6
235,0.9979,9.0,6
236,0.9979,9.0,6
237,0.9972,9.6,6
238,0.9918,11.1,7
239,0.9982,9.6,6
240,0.9985,8.7,5
241,0.9944,10.4,5
242,0.9903,11.4,7
243,0.9934,9.7,6
244,0.9975,8.7,5
245,0.9923,11.3,6
246,0.99,12.6,7
247,0.9905,10.9,7
248,0.9905,10.9,7
249,0.996,10.0,5
250,0.9964,10.0,4
251,0.998,9.8,3
252,0.9975,8.7,5
253,0.9913,11.7,3
254,0.9932,9.3,6
255,0.9935,9.6,8
256,0.9927,11.0,7
257,0.9927,11.0,7
258,0.9912,11.8,6
259,0.9904,11.4,4
260,0.9939,10.2,6
261,0.9996,8.9,5
262,0.9944,10.2,5
263,0.9977,9.6,6
264,0.9912,10.6,6
265,0.9996,8.9,5
266,0.9965,9.2,6
267,0.9944,9.7,5
268,0.9945,9.7,6
269,0.9944,9.7,6
270,0.9965,9.2,6
271,0.9944,9.7,5
272,0.9972,9.3,5
273,0.9949,9.0,5
274,0.9966,9.5,5
275,0.9954,9.8,6
276,0.9954,9.8,6
277,0.9915,10.6,5
278,0.9919,10.6,4
279,0.9916,12.4,7
280,0.99,12.6,8
281,0.9909,12.3,8
282,0.9938,10.5,4
283,0.9982,9.3,5
284,0.9988,8.8,5
285,0.9961,8.8,5
286,0.9978,9.7,6
287,0.9979,9.0,7
288,0.9979,9.0,7
289,0.9979,9.0,7
290,0.9979,9.0,7
291,0.9945,10.5,6
292,1.0,9.1,5
293,0.9957,9.8,7
295,0.9934,9.4,6
296,0.9976,9.4,5
297,0.9932,11.2,7
298,0.997,10.0,6
299,0.9923,10.3,6
300,0.9914,10.8,6
301,0.992,10.5,6
302,0.9914,10.8,6
303,0.9914,11.1,6
304,0.9949,9.9,6
305,0.9949,9.9,6
306,0.995,9.9,5
307,0.995,9.9,6
308,0.9927,10.4,7
309,0.9928,10.4,6
310,0.9917,11.5,7
311,0.9918,12.5,8
312,0.9954,10.0,6
313,0.9941,10.0,6
314,0.9941,10.0,5
315,0.9934,9.1,6
316,0.9927,10.6,6
317,0.9938,10.5,5
318,0.9933,11.5,7
319,0.9934,10.1,6
320,0.9927,10.3,7
321,0.9938,10.5,5
322,0.9927,10.6,6
323,0.9946,10.4,6
324,0.993,11.4,5
325,0.9946,10.5,5
326,0.9976,10.0,6
327,0.9944,10.0,6
328,0.9978,9.6,6
329,0.992,10.4,5
330,0.9912,12.5,8
331,0.9927,10.6,5
332,0.9906,11.8,6
333,0.9954,9.8,5
334,0.9923,10.8,5
335,0.9906,11.8,6
336,0.991,11.2,6
337,0.9972,9.3,6
338,0.9945,10.4,5
339,0.9934,10.2,7
340,0.9964,9.0,7
341,0.9948,10.0,6
342,0.9962,9.1,6
343,0.9931,10.0,5
344,0.993,10.0,6
345,0.9942,9.6,6
346,0.9906,11.2,7
347,0.9995,8.8,6
348,0.998,10.0,6
349,0.997,10.0,5
350,0.9914,11.4,7
351,0.992,11.9,7
352,0.9924,9.6,6
353,0.992,11.9,7
354,0.9937,9.6,6
355,0.9978,9.0,6
356,0.9978,9.0,6
357,0.9927,9.5,6
358,0.994,10.4,6
359,0.9935,10.6,6
360,0.9968,10.2,6
361,0.9941,8.9,5
362,0.9942,9.7,6
363,0.9978,9.0,6
364,0.9923,11.4,7
365,0.9912,12.3,7
366,0.9923,10.8,6
367,0.9927,9.4,6
368,0.9931,10.6,6
369,0.9941,11.6,5
370,0.9927,9.4,6
371,0.9931,10.6,6
372,0.9934,10.0,5
373,0.9936,9.2,6
374,0.9893,12.5,7
375,0.9893,12.5,7
376,0.9919,10.4,7
377,0.9924,10.0,7
378,0.9927,10.0,6
379,0.9919,10.4,7
380,0.9924,10.0,7
381,0.9975,9.0,6
382,0.9969,9.2,6
383,0.9936,9.2,6
384,0.991,11.3,7
385,0.9893,12.5,7
386,0.9906,10.8,7
387,0.9941,10.1,5
388,0.995,9.7,6
389,0.9983,9.3,7
390,0.9983,9.3,7
391,0.9916,10.6,5
392,0.9957,10.2,6
393,0.99,12.2,6
394,0.9976,8.8,5
395,0.992,10.0,5
396,0.9917,11.4,5
397,0.9917,11.4,6
398,0.9993,9.4,5
399,0.9908,11.7,6
400,0.9917,11.4,6
401,0.9976,8.8,5
402,0.9934,9.2,5
403,1.0,8.7,5
404,0.9918,12.6,6
405,0.992,10.0,5
406,0.9896,12.8,7
407,0.9932,9.4,5
408,0.992,10.3,6
409,0.9917,11.4,5
410,0.9999,9.0,6
411,0.998,9.6,6
412,0.9918,10.5,5
413,0.9918,10.5,5
414,0.9999,9.0,6
415,0.998,9.6,6
416,0.9927,9.8,6
417,0.9959,9.0,5
418,0.9927,9.8,6
419,0.9929,10.5,6
420,0.9898,12.7,7
421,0.9954,10.4,6
422,0.9954,10.4,6
423,0.9954,10.4,6
424,0.9954,10.5,7
425,0.9954,10.4,6
426,0.9954,10.4,6
427,0.9974,9.4,5
428,0.9936,9.1,5
429,0.9978,9.3,5
430,0.9974,9.4,5
431,0.9927,9.8,5
432,0.9934,9.9,7
433,0.9938,9.2,4
434,0.9922,12.1,8
435,0.992,12.2,7
436,0.9935,9.8,5
437,0.9906,12.4,8
438,0.9934,9.9,7
439,0.9934,9.2,5
440,0.9913,11.6,7
441,0.9938,10.4,6
442,0.9898,12.9,8
443,0.9975,9.3,6
445,0.9937,11.5,3
446,0.9914,12.4,5
447,0.9982,9.8,6
448,0.9982,9.8,6
449,0.9929,10.5,7
450,0.9971,9.1,5
451,0.9921,10.1,5
452,0.9931,10.6,7
453,0.9924,10.5,7
454,0.9929,10.5,7
455,0.9982,9.8,6
456,0.9892,12.9,7
457,0.9956,9.5,5
458,0.9924,9.8,6
460,0.9956,9.5,5
461,0.9982,9.3,5
462,0.9973,9.5,5
463,0.9932,9.4,6
464,0.9976,8.7,5
465,0.9962,8.9,5
466,0.9956,9.4,6
467,0.9932,9.4,6
468,0.9976,8.7,5
469,0.9992,9.6,5
470,0.9983,9.3,6
471,0.9937,10.0,5
472,0.99,12.5,6
473,0.9944,9.6,7
474,0.9938,9.4,6
475,0.9965,9.5,5
476,0.9893,12.4,7
477,0.9927,10.5,6
478,0.994,9.2,6
479,0.9928,10.4,6
480,0.9964,9.2,5
481,0.9917,10.6,6
482,0.9972,9.5,5
483,0.9964,9.2,5
484,0.9954,9.6,5
485,0.993,9.7,6
486,0.9928,9.7,6
487,0.9916,10.7,6
488,0.9936,10.5,6
489,0.9962,8.9,6
490,0.9899,12.1,6
491,0.9898,12.7,7
492,0.996,9.9,6
493,0.9907,11.4,6
494,0.994,10.7,6
495,0.9913,12.5,6
496,0.9976,8.6,4
497,0.9904,12.5,6
498,0.992,10.0,5
499,0.9976,8.6,4
500,0.999,9.5,6
501,0.9975,9.6,6
502,0.9937,9.9,6
503,0.9937,9.9,5
504,0.998,8.9,6
505,0.998,8.9,6
506,0.9944,8.8,5
507,0.9938,10.0,7
508,0.9907,12.0,6
509,0.9938,10.0,7
510,0.9921,10.0,6
511,0.9908,12.1,6
512,0.9931,11.0,6
513,0.9915,11.2,6
514,0.9952,10.3,7
515,0.9926,10.4,6
516,0.9934,9.1,5
517,0.992,10.4,6
518,0.9918,10.8,6
519,0.9942,11.7,5
520,0.9942,9.8,5
521,0.9942,9.8,5
522,0.9901,11.4,6
524,0.9902,11.4,5
525,0.9934,9.2,6
526,0.9906,12.5,4
527,0.9898,12.6,6
528,0.9896,12.2,6
529,0.9922,11.2,6
530,0.9947,9.7,6
531,0.9945,9.3,5
532,0.9976,9.0,6
533,0.9976,9.0,6
534,0.9976,9.0,6
535,0.9987,9.1,5
536,0.9987,9.1,5
537,0.9976,9.0,6
538,0.992,10.4,5
539,0.9955,9.5,6
540,0.9953,11.4,4
541,0.9976,8.7,5
542,0.992,9.9,6
543,0.9952,9.9,6
544,0.9983,9.0,6
545,0.9933,10.0,6
546,0.9958,9.7,6
547,0.9922,11.8,6
548,0.9928,10.2,7
549,0.9976,8.7,5
550,0.9976,9.6,7
551,0.9916,11.3,7
552,0.9901,12.1,7
553,0.9976,9.6,7
554,0.9901,12.1,7
555,0.9916,11.3,7
556,0.9982,9.4,5
557,0.993,10.4,6
558,0.9969,9.5,5
559,0.991,12.3,6
560,0.9953,9.9,7
561,0.9924,10.1,5
562,0.9969,9.2,6
563,0.9928,10.4,7
564,0.9945,9.1,5
565,0.9967,10.0,6
566,0.9944,11.5,6
567,0.9928,9.8,5
568,0.9929,9.8,6
569,0.9948,9.4,6
570,0.9976,8.7,5
571,0.9912,11.6,7
572,0.9987,8.8,5
573,0.99,12.7,7
574,0.991,11.7,7
575,0.9933,10.2,6
576,0.9933,10.2,6
577,0.9899,12.7,7
578,0.9912,11.6,7
579,0.9912,12.3,7
580,0.9976,8.7,5
581,0.994,9.4,5
582,0.9947,10.1,6
583,0.9954,9.7,6
584,0.993,10.1,7
585,0.9954,9.7,6
586,0.9963,8.9,6
587,0.992,10.8,7
588,0.9926,10.8,7
589,0.995,9.5,6
590,0.9983,9.1,5
591,0.992,10.9,6
592,0.9968,9.4,5
593,0.9905,10.8,5
594,0.9904,10.8,5
595,0.9926,10.5,7
596,0.9968,9.4,5
597,0.9928,10.8,6
598,0.9949,10.5,8
599,0.9909,11.5,7
600,0.9937,9.4,6
601,0.9914,10.8,6
602,0.9905,10.8,5
603,0.9904,10.8,5
604,0.9924,9.8,6
605,0.9924,9.8,6
606,0.9965,9.6,5
607,0.9965,9.6,5
608,0.9993,9.5,5
609,0.9965,10.7,6
610,0.9908,12.4,8
611,0.992,11.1,6
612,0.9978,8.8,5
613,0.9978,8.7,5
614,0.9978,8.7,5
615,0.9978,8.8,5
616,0.9912,11.7,7
617,0.9928,10.9,6
618,0.9928,10.8,6
619,0.993,9.6,6
620,0.9993,9.0,5
621,0.9965,9.0,5
622,0.9937,10.4,6
623,0.9913,11.4,5
624,0.9934,9.3,5
625,0.9952,11.0,8
626,0.9983,9.1,4
627,0.9957,9.4,6
628,0.9957,9.4,6
629,0.9916,10.5,6
630,0.9999,8.8,5
631,0.9999,8.8,5
632,0.9936,10.7,6
633,0.9972,9.5,5
634,0.9933,10.9,6
635,0.9934,10.8,6
636,0.9931,10.8,7
637,0.9976,9.2,5
638,0.9937,10.3,5
639,0.9937,10.3,5
640,0.991,11.0,7
641,0.9979,9.0,4
642,0.9971,10.4,6
643,0.9969,9.5,5
644,0.9968,9.5,5
645,0.9961,9.0,5
646,0.993,9.5,4
647,0.9973,9.0,6
648,0.9944,10.0,5
649,0.9986,9.1,7
650,0.9986,9.1,7
651,0.9986,9.1,7
652,0.9986,9.1,7
653,0.9972,9.5,6
654,0.9917,11.4,7
655,0.992,12.2,6
656,0.9932,11.3,6
657,0.9936,10.2,5
658,0.9915,11.3,5
659,0.9922,10.0,4
660,0.9934,9.4,5
661,0.9952,12.2,7
662,0.9972,9.2,4
663,0.9934,9.4,5
664,0.9958,9.6,6
665,0.9944,9.5,5
666,0.9908,12.5,6
667,0.9958,9.6,6
668,0.9925,10.0,6
669,0.9966,9.3,5
670,0.9972,9.3,6
671,0.9912,11.6,6
672,0.995,12.5,8
673,0.9928,10.6,6
674,0.9968,9.4,5
675,0.9955,9.1,6
676,0.9981,9.0,6
677,0.991,11.8,7
678,0.991,11.8,7
679,0.991,11.8,7
680,0.992,10.0,5
681,0.9931,9.7,5
682,0.997,9.5,6
683,0.9948,9.4,5
684,0.9923,11.2,5
685,0.9976,9.0,5
686,0.9938,10.7,7
687,0.9984,9.0,4
688,0.9972,9.1,6
689,0.9922,10.8,7
690,0.9935,10.1,4
691,0.9944,9.9,6
692,0.9942,9.8,5
693,0.9944,9.8,5
694,0.9997,9.5,6
695,0.9977,9.5,5
696,0.9912,11.1,6
697,0.9982,9.5,5
698,0.9982,9.5,5
699,0.9983,9.4,5
700,0.998,9.7,5
701,0.9894,13.9,7
702,0.9927,10.1,4
703,0.9917,10.5,6
704,0.9904,12.6,6
705,0.993,10.9,5
706,0.9941,10.0,5
707,0.9943,11.2,6
708,0.99855,10.0,6
709,0.99345,9.2,5
710,0.998,9.5,5
711,0.9916,12.3,6
712,0.9916,12.3,6
713,0.99475,10.0,5
714,0.99325,10.8,6
715,0.9933,10.5,7
716,0.9969,9.2,6
717,1.0002,9.1,5
718,0.9933,10.5,7
719,0.9937,10.2,7
720,0.99685,8.9,5
721,0.99455,10.4,5
722,0.9917,11.7,6
723,0.99035,12.4,8
724,0.9914,10.9,7
725,0.99225,10.2,5
726,0.99155,11.7,7
727,0.9954,9.4,5
728,0.99455,10.5,5
729,0.9924,9.4,5
730,0.99695,10.4,6
731,0.99655,9.5,6
732,0.9934,11.1,7
733,0.998,9.1,6
734,0.9971,9.2,5
735,0.9948,9.6,6
736,0.998,9.1,6
737,0.9971,9.2,5
738,0.99215,10.8,7
739,0.9948,9.6,6
740,0.9915,12.6,3
741,0.99115,11.0,6
742,0.9932,10.2,6
743,0.9977,9.4,5
744,0.99535,10.0,5
745,0.99165,12.2,6
746,0.9953,10.5,6
747,0.9928,11.5,6
748,0.9958,9.8,6
749,0.9928,11.4,6
750,0.9928,11.5,6
751,0.9964,10.2,6
752,0.9987,9.4,6
753,0.9953,10.5,6
754,0.9932,9.1,5
755,0.9907,12.2,7
756,0.99755,9.5,5
757,0.99935,9.3,6
758,0.9932,9.8,7
759,0.9932,9.8,7
760,0.9958,9.8,6
761,0.99585,9.8,6
762,1.00055,8.7,5
763,0.9985,10.2,6
764,0.99505,9.5,6
765,0.992,11.0,6
766,0.9988,9.2,5
767,0.99175,10.9,6
768,0.9962,9.3,7
769,0.9962,9.3,7
770,0.9942,9.8,7
771,0.9927,9.3,7
772,0.9927,9.3,7
773,0.99985,9.4,5
774,0.997,10.4,9
775,0.9918,12.1,6
776,0.99215,11.0,6
777,0.99865,9.0,5
778,0.9992,9.5,7
779,1.0006,8.8,8
780,0.99135,11.2,4
781,0.99715,9.3,6
782,0.9992,9.5,7
783,1.0006,8.8,8
784,0.99865,9.0,5
785,0.99815,9.3,6
786,0.99815,9.2,6
787,0.99815,9.2,6
788,0.9949,10.0,7
789,0.99815,9.3,6
790,0.99815,9.2,6
791,0.99225,10.9,7
792,0.99445,10.0,5
793,0.99225,10.9,7
794,0.99335,9.3,5
795,0.99625,9.0,5
796,0.9971,9.2,6
797,0.9983,9.6,6
798,0.99445,9.4,6
799,0.99085,11.1,8
800,0.9977,8.9,6
801,0.9953,9.3,5
802,0.99775,9.3,5
803,0.99795,9.8,7
804,0.99505,9.8,6
805,0.9977,8.9,6
806,0.9975,9.6,5
807,0.99745,9.6,6
808,0.9976,9.0,6
809,0.99775,9.5,6
810,0.9953,9.3,5
811,0.9932,9.2,6
812,0.99405,9.1,7
813,1.0,9.5,6
814,0.99785,10.5,6
815,0.9939,9.0,5
816,0.9939,11.7,5
817,0.99675,9.1,5
818,0.9939,9.0,5
819,0.99675,9.1,5
820,0.98965,12.4,9
821,0.9971,9.2,6
822,0.99445,9.4,5
823,0.9945,9.6,6
824,0.9939,11.7,5
825,0.9958,9.8,6
826,0.9956,10.2,6
827,0.99055,12.5,9
828,0.9959,10.9,7
829,0.9925,11.0,7
830,0.9963,10.5,6
831,0.9935,11.5,4
832,0.99105,12.8,8
833,0.99045,12.2,6
834,0.9963,10.5,6
835,0.99155,12.8,8
836,0.99085,11.9,8
837,0.99085,11.9,8
838,0.99085,11.9,8
839,0.9924,12.0,7
840,0.9924,12.0,7
841,0.99975,8.8,7
842,0.99975,8.8,7
843,0.99315,10.8,7
844,0.9917,11.0,8
845,0.9917,11.0,8
846,0.99845,9.3,5
847,0.9921,10.8,5
848,0.99975,8.8,7
849,0.9909,11.5,6
850,0.99315,10.8,7
851,0.99855,9.4,5
852,0.9934,9.5,7
853,0.9978,8.6,5
854,0.9934,9.5,7
855,0.9949,10.3,7
856,0.99855,9.4,5
857,0.9986,9.4,5
858,0.99725,10.0,7
859,0.9946,9.4,5
860,0.99255,10.4,8
861,0.9996,9.1,7
862,0.9939,9.9,6
863,0.99,12.1,6
864,0.9937,9.9,5
865,0.9886,12.5,6
866,0.9934,9.5,7
867,1.0,8.5,8
868,0.9994,9.0,7
869,0.9926,10.1,6
870,0.9956,9.4,5
871,0.9978,8.6,5
872,0.9915,10.7,6
873,0.9939,9.6,3
874,0.9932,10.1,5
875,0.993,10.0,7
876,0.9898,12.7,9
877,0.9921,10.2,6
878,0.9932,8.9,6
879,0.9919,11.9,8
880,0.993,10.0,7
881,0.9953,9.9,6
882,0.9928,11.5,6
883,0.9928,11.5,6
884,0.9976,9.8,6
885,0.9906,12.2,7
886,0.9918,11.4,6
887,0.99185,11.0,7
888,0.9918,11.4,6
889,0.99185,11.0,7
890,0.994,9.9,6
891,0.9908,11.0,7
892,0.9928,9.4,5
893,0.9896,12.2,7
894,0.9908,11.0,7
895,0.9918,10.3,6
896,0.9952,10.5,6
897,0.9923,10.5,6
898,0.9915,10.9,6
899,0.9952,10.5,6
900,0.9947,11.0,7
901,0.9983,9.7,6
902,0.9975,8.9,5
903,0.995,9.6,6
904,0.9944,8.8,8
905,0.994,11.1,4
906,0.9944,10.3,4
907,0.9908,12.2,8
908,0.99795,9.8,4
909,0.9985,8.8,5
910,0.99425,9.9,5
911,0.99425,9.9,5
912,0.9943,9.9,5
913,0.9924,9.2,5
914,0.9946,9.5,4
915,0.9924,9.2,5
916,0.995,10.3,7
917,0.9919,11.0,6
918,0.99,11.9,6
919,0.9923,10.2,7
920,0.9956,9.4,7
921,0.9978,8.9,6
922,0.9978,8.9,6
923,0.9967,10.0,6
924,0.9934,10.7,8
925,0.9936,9.8,5
926,0.9932,9.3,5
927,0.9934,9.5,7
928,0.998,10.0,5
929,0.9978,9.0,5
930,0.9929,11.9,7
931,0.9974,8.9,5
932,0.99685,10.0,6
933,0.99495,9.6,5
934,0.99745,8.9,5
935,0.99505,8.9,5
936,0.992,11.4,5
937,0.9978,9.0,5
938,0.9956,10.0,6
939,0.9982,9.6,7
940,0.99485,9.7,5
941,0.9971,9.5,6
942,0.99265,10.0,7
943,0.9904,12.2,7
944,0.9965,8.7,7
945,0.9946,10.2,7
946,0.99965,9.6,5
947,0.9935,10.0,5
948,0.996,9.5,4
949,0.9942,11.5,5
950,0.9936,9.5,5
951,0.9965,9.8,6
952,0.9928,10.1,6
953,0.9928,10.0,5
954,0.9965,9.8,6
955,0.9936,9.5,5
956,0.9938,9.5,5
957,0.9926,10.2,7
958,0.9926,10.2,7
959,0.9983,9.0,6
960,0.9983,9.0,6
961,0.992,12.3,7
962,0.9983,9.0,6
963,0.9923,11.6,6
964,0.9972,9.5,6
965,0.9928,11.5,5
966,0.9928,9.6,6
967,0.9994,9.0,6
968,0.991,12.0,7
969,0.9906,11.4,7
970,0.9894,12.3,7
971,0.9898,12.6,7
972,0.9994,9.0,6
973,0.991,12.0,7
974,0.9925,11.7,6
975,0.9956,9.2,5
976,0.9946,10.3,6
978,0.9951,10.7,7
979,0.9927,9.8,5
980,0.9927,9.8,6
981,0.9951,10.7,7
982,0.9894,12.5,6
983,0.9907,11.9,6
984,0.9925,10.8,5
985,0.9928,10.5,6
986,0.9941,10.3,6
987,0.9941,10.3,6
988,0.9925,10.8,5
989,0.9935,12.0,7
990,0.9932,10.2,6
991,0.9944,10.2,4
992,0.9972,9.9,5
993,0.994,10.1,4
994,0.9956,9.5,6
995,0.9927,10.5,6
996,0.9924,10.4,5
997,0.9966,9.5,6
998,0.9997,9.2,6
999,0.9936,10.1,7
1000,0.9936,9.8,7
1001,0.9952,9.4,5
1002,0.9952,9.4,6
1003,0.9928,10.4,7
1004,0.9911,11.3,6
1005,0.993,10.8,6
1006,0.9911,11.3,6
1007,0.9932,9.3,5
1008,0.993,10.3,7
1009,0.993,10.5,6
1010,0.9932,10.3,6
1011,0.9932,11.2,7
1012,0.9943,10.3,6
1013,0.9968,9.5,5
1014,0.9994,8.9,5
1015,0.9926,10.2,5
1016,0.9968,9.2,5
1017,0.9932,10.3,6
1018,0.9916,10.5,6
1019,0.9946,9.5,6
1020,0.9925,11.4,7
1021,0.9925,11.4,7
1022,0.9935,11.1,8
1023,0.9962,10.5,6
1024,0.9928,12.0,6
1025,0.993,9.7,6
1026,0.993,10.2,6
1027,0.9956,9.5,4
1028,0.9941,10.4,7
1029,0.9972,9.3,4
1030,0.9948,10.5,6
1031,0.9955,10.0,6
1032,0.9972,10.2,6
1033,0.9972,10.2,6
1034,0.9983,9.1,3
1035,0.9942,10.2,6
1036,0.9936,10.7,5
1037,0.9956,9.7,5
1038,0.9953,9.3,7
1039,0.9918,11.0,5
1040,0.995,10.8,4
1041,0.992,10.7,5
1042,0.9952,10.7,4
1043,1.001,8.8,5
1044,0.9924,10.9,7
1045,0.9932,10.5,5
1046,0.9937,10.0,5
1047,0.9918,10.4,5
1048,0.9934,9.2,5
1049,0.991,12.6,6
1050,0.9962,9.0,5
1051,0.9932,9.2,6
1052,0.9908,11.3,5
1053,0.9962,10.3,4
1054,0.9918,10.4,5
1055,0.9941,10.0,5
1056,0.9931,10.7,6
1057,0.9981,9.0,5
1058,0.9931,10.7,6
1059,0.9944,8.7,4
1060,0.992,11.6,7
1061,0.9966,9.4,5
1062,0.9956,9.5,5
1063,0.9956,9.5,5
1064,0.9949,10.9,6
1065,1.0002,9.7,5
1066,0.9942,9.1,6
1067,0.9923,11.1,7
1068,0.9917,12.6,7
1069,0.9931,11.0,6
1070,0.992,11.3,7
1071,1.0002,9.7,5
1072,0.9953,10.9,7
1073,0.9951,10.9,5
1074,0.9974,9.3,6
1075,0.9904,12.7,7
1076,0.9974,10.1,6
1077,0.9944,10.0,5
1078,1.0004,9.8,5
1079,0.9952,10.1,6
1080,0.9956,9.0,7
1081,0.995,9.4,6
1082,0.995,9.4,6
1083,0.9995,9.2,6
1084,0.9942,10.1,7
1085,0.9977,8.6,5
1086,0.992,11.2,8
1087,0.992,11.2,8
1088,0.9995,9.2,6
